column,color,description
po_cutot,Blues,"Thermoelectric once-through, total consumptive use, total (fresh+saline), in Mgal/d."
po_power,Blues,"Thermoelectric once-through, power generated, in gigawatt-hours."
pc_wgwto,Blues,"Thermoelectric recirculating, groundwater withdrawals, total, in Mgal/d."
pc_wswto,Blues,"Thermoelectric recirculating, surface-water withdrawals, total, in Mgal/d."
pc_wtotl,Blues,"Thermoelectric recirculating, total withdrawals, total (fresh+saline), in Mgal/d."
pc_recww,Blues,"Thermoelectric recirculating, reclaimed wastewater, in Mgal/d."
pc_psdel,Blues,"Thermoelectric recirculating, deliveries from Public Supply, in Mgal/d."
pc_cutot,Blues,"Thermoelectric recirculating, total consumptive use, total (fresh+saline), in Mgal/d."
pc_power,Blues,"Thermoelectric recirculating, power generated, in gigawatt-hours."
to_wgwto,Blues,"Total groundwater withdrawals, total (fresh+saline), in Mgal/d."
to_wswto,Blues,"Total surface-water withdrawals, total (fresh+saline), in Mgal/d."
to_wtotl,Blues,"Total withdrawals, total (fresh+saline), in Mgal/d."
to_cutotpartial,Blues,"Irrigation and Thermoelectric, total consumptive use, total (fresh+saline), in Mgal/d."
median_household_income,Greens,Median Household Income
tmean_c,RdBu_r,Mean Temperature (°C)
tdmean_c,RdBu_r,Mean Dew Point Temperature (°C)
netmean_c,RdBu_r,Mean Net Radiation (°C)
himean_c,RdBu_r,Mean Heat Index (°C)
hxmean_c,RdBu_r,Mean Wind Chill Index (°C)
wbgtmean_c,RdBu_r,Mean Wet Bulb Globe Temperature (°C)
flag_t,Blues,Temperature Flag
flag_td,Blues,Dew Point Temperature Flag
flag_net,Blues,Net Radiation Flag
flag_hi,Blues,Heat Index Flag
flag_hx,Blues,Wind Chill Index Flag
flag_wbgt,Blues,Wet Bulb Globe Temperature Flag
normal_wet,Greens,Normal Wet Conditions
abnormally_dry,Reds,Abnormally Dry Conditions
moderate_drought,Reds,Moderate Drought Conditions
severe_drought,Reds,Severe Drought Conditions
extreme_drought,Reds,Extreme Drought Conditions
exceptional_drought,Reds,Exceptional Drought Conditions
