STATE,COUNTY,FIPS,YEAR,TP-TotPop,PS-GWPop,PS-SWPop,PS-TOPop,PS-WGWTo,PS-WSWTo,PS-Wtotl,DO-SSPop,DO-SSPCp,DO-PSDel,DO-PSPCp,DO-WFrTo,DO-WDelv ,IN-WGWTo,IN-WSWTo,IN-Wtotl,IR-WFrTo,IR-RecWW,IR-CUsFr,IR-IrTot,IC-WFrTo,IC-RecWW,IC-CUsFr,IC-IrTot,IG-WFrTo,IG-RecWW,IG-CUsFr,IG-IrTot,LI-WFrTo,AQ-WGWTo,AQ-WSWTo,AQ-Wtotl,MI-WGWTo,MI-WSWTo,MI-Wtotl,PT-WGWTo,PT-WSWTo,PT-Wtotl,PT-RecWW,PT-PSDel,PT-CUTot,PT-Power,PO-WGWTo,PO-WSWTo,PO-Wtotl,PO-RecWW,PO-PSDel,PO-CUTot,PO-Power,PC-WGWTo,PC-WSWTo,PC-Wtotl,PC-RecWW,PC-PSDel,PC-CUTot,PC-Power,TO-WGWTo,TO-WSWTo,TO-Wtotl,TO-CUTotPartial
AL,Chilton County,1021,2015,43.943,--,--,34.63,2.51,1.89,4.4,9.313,64.0,2.22,64.0,0.6,2.82,0.39,0.0,0.39,0.49,--,0.49,0.57,0.33,--,0.33,0.51,0.16,--,0.16,0.06,0.16,0.0,0.0,0.0,0.06,0.0,0.06,0.0,0.0,0.0,--,--,0.0,0.0,0.0,0.0,0.0,--,--,0.0,0.0,0.0,0.0,0.0,--,--,0.0,0.0,3.96,2.14,6.1,0.49
AL,Choctaw County,1023,2015,13.17,--,--,4.998,1.21,0.0,1.21,8.172,50.0,0.25,50.0,0.41,0.66,0.0,46.61,46.61,0.17,--,0.17,0.07,0.01,--,0.01,0.01,0.16,--,0.16,0.06,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,--,--,0.0,0.0,0.0,0.0,0.0,--,--,0.0,0.0,0.0,0.0,0.0,--,--,0.0,0.0,1.66,46.8,48.46,0.17
AL,Clarke County,1025,2015,24.675,--,--,17.759,2.5,0.08,2.58,6.916,65.0,1.19,67.0,0.45,1.64,0.0,22.14,22.14,0.28,--,0.28,0.16,0.02,--,0.02,0.05,0.26,--,0.26,0.11,0.06,0.0,0.1,0.1,0.86,0.0,0.86,0.0,0.0,0.0,--,--,0.0,0.0,0.0,0.0,0.0,--,--,0.0,0.0,0.0,0.0,0.0,--,--,0.0,0.0,3.85,22.62,26.47,0.28
AL,Clay County,1027,2015,13.555,--,--,5.97,0.0,1.78,1.78,7.585,42.0,0.28,47.0,0.32,0.6,0.0,0.0,0.0,0.12,--,0.12,0.08,0.02,--,0.02,0.02,0.1,--,0.10,0.06,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,--,--,0.0,0.0,0.0,0.0,0.0,--,--,0.0,0.0,0.0,0.0,0.0,--,--,0.0,0.0,0.49,2.11,2.6,0.12
AL,Cleburne County,1029,2015,15.018,--,--,6.613,0.0,0.48,0.48,8.405,112.0,0.61,92.0,0.94,1.55,0.0,0.0,0.0,0.14,--,0.14,0.31,0.14,--,0.14,0.31,0.0,--,0.00,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,--,--,0.0,0.0,0.0,0.0,0.0,--,--,0.0,0.0,0.0,0.0,0.0,--,--,0.0,0.0,1.09,0.8,1.89,0.14
AL,Coffee County,1031,2015,51.211,--,--,42.461,6.34,0.0,6.34,8.75,91.0,3.53,83.0,0.8,4.33,1.74,0.0,1.74,3.87,--,3.87,5.07,3.4,--,3.40,4.81,0.47,--,0.47,0.26,0.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,--,--,0.0,0.0,0.0,0.0,0.0,--,--,0.0,0.0,0.0,0.0,0.0,--,--,0.0,0.0,9.9,3.64,13.54,3.87
AL,Colbert County,1033,2015,54.354,--,--,50.414,0.6,7.66,8.26,3.94,89.0,4.27,85.0,0.35,4.62,0.0,29.7,29.7,2.43,--,2.43,4.17,1.56,--,1.56,3.69,0.87,--,0.87,0.48,0.37,0.0,0.0,0.0,0.0,0.52,0.52,0.0,963.99,963.99,--,--,0.8,2685.37,0.0,963.99,963.99,--,--,0.8,2685.37,0.0,0.0,0.0,--,--,0.0,0.0,1.89,1003.73,1005.62,3.23
AL,Conecuh County,1035,2015,12.672,--,--,6.988,1.32,0.0,1.32,5.684,32.0,0.41,59.0,0.18,0.59,0.0,0.0,0.0,0.21,--,0.21,0.16,0.05,--,0.05,0.1,0.16,--,0.16,0.06,0.12,0.0,0.0,0.0,0.06,0.04,0.1,0.0,0.0,0.0,--,--,0.0,0.0,0.0,0.0,0.0,--,--,0.0,0.0,0.0,0.0,0.0,--,--,0.0,0.0,1.66,0.27,1.93,0.21
AL,Coosa County,1037,2015,10.724,--,--,5.839,0.27,0.0,0.27,4.885,68.0,0.39,67.0,0.33,0.72,0.0,0.0,0.0,0.1,--,0.1,0.06,0.0,--,0.00,0.0,0.1,--,0.10,0.06,0.04,0.0,0.0,0.0,0.08,0.04,0.12,0.0,0.0,0.0,--,--,0.0,0.0,0.0,0.0,0.0,--,--,0.0,0.0,0.0,0.0,0.0,--,--,0.0,0.0,0.7,0.16,0.86,0.1
AL,Covington County,1039,2015,37.835,--,--,24.183,4.09,0.0,4.09,13.652,73.0,1.81,75.0,1.0,2.81,0.0,0.0,0.0,3.46,--,3.46,2.21,2.95,--,2.95,1.95,0.51,--,0.51,0.26,0.55,0.0,0.0,0.0,0.04,0.0,0.04,0.0,1.14,1.14,--,--,1.04,4001.22,0.0,0.0,0.0,--,--,0.0,0.0,0.0,1.14,1.14,--,--,1.04,4001.22,6.63,3.65,10.28,4.5
AL,Crenshaw County,1041,2015,13.963,--,--,10.616,1.93,0.0,1.93,3.347,45.0,0.83,78.0,0.15,0.98,0.0,0.0,0.0,0.58,--,0.58,0.96,0.48,--,0.48,0.9,0.1,--,0.10,0.06,0.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,--,--,0.0,0.0,0.0,0.0,0.0,--,--,0.0,0.0,0.0,0.0,0.0,--,--,0.0,0.0,2.38,1.0,3.38,0.58
AL,Cullman County,1043,2015,82.005,--,--,79.424,0.31,22.93,23.24,2.581,74.0,5.73,72.0,0.19,5.92,0.74,2.43,3.17,0.91,--,0.91,0.73,0.56,--,0.56,0.52,0.35,--,0.35,0.21,1.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,--,--,0.0,0.0,0.0,0.0,0.0,--,--,0.0,0.0,0.0,0.0,0.0,--,--,0.0,0.0,2.34,26.78,29.12,0.91
AL,Dale County,1045,2015,49.565,--,--,40.468,5.9,0.0,5.9,9.097,75.0,3.05,75.0,0.68,3.73,0.0,0.0,0.0,2.08,--,2.08,2.84,1.45,--,1.45,2.58,0.63,--,0.63,0.26,0.4,0.0,0.0,0.0,0.05,0.03,0.08,0.0,0.0,0.0,--,--,0.0,0.0,0.0,0.0,0.0,--,--,0.0,0.0,0.0,0.0,0.0,--,--,0.0,0.0,7.13,2.01,9.14,2.08
AL,Dallas County,1047,2015,41.131,--,--,31.711,5.91,0.0,5.91,9.42,70.0,2.23,70.0,0.66,2.89,0.24,30.66,30.9,3.2,--,3.2,3.17,2.79,--,2.79,2.91,0.41,--,0.41,0.26,0.26,7.79,3.9,11.69,0.5,0.22,0.72,0.0,0.0,0.0,--,--,0.0,0.0,0.0,0.0,0.0,--,--,0.0,0.0,0.0,0.0,0.0,--,--,0.0,0.0,15.89,37.45,53.34,3.2
AL,DeKalb County,1049,2015,71.13,--,--,51.765,0.33,5.58,5.91,19.365,69.0,3.39,65.0,1.34,4.73,0.57,0.0,0.57,2.64,--,2.64,1.03,1.97,--,1.97,0.67,0.67,--,0.67,0.36,2.1,0.0,0.0,0.0,0.04,0.02,0.06,0.0,0.0,0.0,--,--,0.0,0.0,0.0,0.0,0.0,--,--,0.0,0.0,0.0,0.0,0.0,--,--,0.0,0.0,3.76,8.86,12.62,2.64
AL,Elmore County,1051,2015,81.468,--,--,75.87,2.68,9.51,12.19,5.598,64.0,5.02,66.0,0.36,5.38,0.0,0.0,0.0,3.08,--,3.08,3.83,2.05,--,2.05,3.25,1.03,--,1.03,0.58,0.15,0.0,0.0,0.0,1.99,0.94,2.93,0.0,0.0,0.0,--,--,0.0,0.0,0.0,0.0,0.0,--,--,0.0,0.0,0.0,0.0,0.0,--,--,0.0,0.0,5.71,13.0,18.71,3.08
AL,Escambia County,1053,2015,37.789,--,--,30.839,5.0,0.0,5.0,6.95,73.0,2.22,72.0,0.51,2.73,1.46,32.54,34.0,1.74,--,1.74,1.96,1.33,--,1.33,1.75,0.41,--,0.41,0.21,0.17,0.0,0.0,0.0,1.15,0.0,1.15,0.0,0.0,0.0,--,--,0.0,0.0,0.0,0.0,0.0,--,--,0.0,0.0,0.0,0.0,0.0,--,--,0.0,0.0,9.19,33.38,42.57,1.74
AL,Etowah County,1055,2015,103.057,--,--,99.052,4.12,12.73,16.85,4.005,65.0,6.6,67.0,0.26,6.86,0.0,8.3,8.3,1.0,--,1.0,0.65,0.03,--,0.03,0.07,0.97,--,0.97,0.58,0.47,0.0,0.01,0.01,0.28,0.12,0.4,0.0,105.52,105.52,--,--,0.76,214.66,0.0,105.52,105.52,--,--,0.76,214.66,0.0,0.0,0.0,--,--,0.0,0.0,4.87,127.94,132.81,1.76
AL,Fayette County,1057,2015,16.759,--,--,9.743,0.05,1.65,1.7,7.016,70.0,0.68,70.0,0.49,1.17,0.0,0.0,0.0,0.37,--,0.37,0.45,0.21,--,0.21,0.39,0.16,--,0.16,0.06,0.18,0.0,0.0,0.0,0.0,0.31,0.31,0.0,0.0,0.0,--,--,0.0,0.0,0.0,0.0,0.0,--,--,0.0,0.0,0.0,0.0,0.0,--,--,0.0,0.0,0.62,2.43,3.05,0.37
AL,Franklin County,1059,2015,31.696,--,--,25.004,1.05,4.89,5.94,6.692,55.0,1.4,56.0,0.37,1.77,0.0,0.0,0.0,0.84,--,0.84,1.23,0.58,--,0.58,1.07,0.26,--,0.26,0.16,0.65,0.0,0.0,0.0,0.4,0.17,0.57,0.0,0.0,0.0,--,--,0.0,0.0,0.0,0.0,0.0,--,--,0.0,0.0,0.0,0.0,0.0,--,--,0.0,0.0,2.1,6.27,8.37,0.84
AL,Geneva County,1061,2015,26.777,--,--,15.541,1.78,0.0,1.78,11.236,61.0,0.94,60.0,0.68,1.62,0.0,0.0,0.0,5.47,--,5.47,8.86,5.37,--,5.37,8.8,0.1,--,0.10,0.06,0.74,0.13,0.0,0.13,0.05,0.02,0.07,0.0,0.0,0.0,--,--,0.0,0.0,0.0,0.0,0.0,--,--,0.0,0.0,0.0,0.0,0.0,--,--,0.0,0.0,5.47,3.4,8.87,5.47
AL,Greene County,1063,2015,8.479,--,--,5.778,1.39,0.0,1.39,2.701,59.0,0.35,61.0,0.16,0.51,0.02,0.0,0.02,0.45,--,0.45,0.44,0.35,--,0.35,0.38,0.1,--,0.10,0.06,0.12,4.21,5.09,9.3,0.0,0.0,0.0,0.0,377.42,377.42,--,--,9.54,2207.65,0.0,377.42,377.42,--,--,9.54,2207.65,0.0,0.0,0.0,--,--,0.0,0.0,6.15,382.71,388.86,9.99
AL,Hale County,1065,2015,15.068,--,--,12.16,3.1,0.0,3.1,2.908,113.0,1.38,113.0,0.33,1.71,0.02,0.0,0.02,1.07,--,1.07,1.96,0.91,--,0.91,1.86,0.16,--,0.16,0.1,0.3,8.81,7.34,16.15,0.12,0.0,0.12,0.0,0.0,0.0,--,--,0.0,0.0,0.0,0.0,0.0,--,--,0.0,0.0,0.0,0.0,0.0,--,--,0.0,0.0,13.43,7.66,21.09,1.07
AL,Henry County,1067,2015,17.221,--,--,13.297,1.66,0.0,1.66,3.924,61.0,0.81,61.0,0.24,1.05,0.0,0.0,0.0,5.87,--,5.87,8.58,5.71,--,5.71,8.52,0.16,--,0.16,0.06,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,--,--,0.0,0.0,0.0,0.0,0.0,--,--,0.0,0.0,0.0,0.0,0.0,--,--,0.0,0.0,3.43,4.6,8.03,5.87
AL,Houston County,1069,2015,104.173,--,--,84.623,18.94,0.0,18.94,19.55,57.0,4.98,59.0,1.11,6.09,0.3,0.0,0.3,7.55,--,7.55,13.19,6.25,--,6.25,12.67,1.3,--,1.30,0.52,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.08,99.08,--,--,21.62,14281.69,0.0,0.0,0.0,--,--,0.0,0.0,0.0,99.08,99.08,--,--,21.62,14281.69,25.59,101.64,127.23,29.17
AL,Jackson County,1071,2015,52.419,--,--,38.802,0.5,11.29,11.79,13.617,63.0,2.61,67.0,0.86,3.47,0.0,9.1,9.1,1.28,--,1.28,0.96,0.46,--,0.46,0.5,0.82,--,0.82,0.46,0.66,0.0,0.0,0.0,0.06,0.02,0.08,0.0,352.22,352.22,--,--,0.5,1627.45,0.0,352.22,352.22,--,--,0.5,1627.45,0.0,0.0,0.0,--,--,0.0,0.0,1.98,374.01,375.99,1.78
AL,Jefferson County,1073,2015,660.367,--,--,654.319,7.87,41.11,48.98,6.048,63.0,48.85,75.0,0.38,49.23,0.87,0.0,0.87,5.88,--,5.88,3.15,0.19,--,0.19,0.22,5.69,--,5.69,2.93,0.08,0.0,0.0,0.0,1.02,0.77,1.79,0.0,0.0,0.0,--,--,0.0,17815.89,0.0,0.0,0.0,--,--,0.0,0.0,0.0,0.0,0.0,--,--,0.0,17815.89,10.25,47.73,57.98,5.88
AL,Lamar County,1075,2015,13.886,--,--,8.668,1.42,0.0,1.42,5.218,56.0,0.49,57.0,0.29,0.78,0.1,0.0,0.1,0.24,--,0.24,0.8,0.08,--,0.08,0.7,0.16,--,0.16,0.1,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,--,--,0.0,0.0,0.0,0.0,0.0,--,--,0.0,0.0,0.0,0.0,0.0,--,--,0.0,0.0,1.86,0.3,2.16,0.24
AL,Lauderdale County,1077,2015,92.596,--,--,77.817,1.85,10.54,12.39,14.779,79.0,6.17,79.0,1.17,7.34,0.0,0.0,0.0,1.8,--,1.8,1.04,0.93,--,0.93,0.52,0.87,--,0.87,0.52,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,--,--,0.0,0.0,0.0,0.0,0.0,--,--,0.0,0.0,0.0,0.0,0.0,--,--,0.0,0.0,3.77,12.04,15.81,1.8
AL,Lawrence County,1079,2015,33.115,--,--,27.629,0.0,7.73,7.73,5.486,64.0,1.78,64.0,0.35,2.13,0.0,0.0,0.0,2.58,--,2.58,4.88,2.32,--,2.32,4.72,0.26,--,0.26,0.16,0.84,0.0,0.01,0.01,0.02,0.0,0.02,0.0,0.0,0.0,--,--,0.0,0.0,0.0,0.0,0.0,--,--,0.0,0.0,0.0,0.0,0.0,--,--,0.0,0.0,0.78,10.75,11.53,2.58
AL,Lee County,1081,2015,156.993,--,--,147.603,2.84,12.99,15.83,9.39,77.0,9.81,66.0,0.72,10.53,0.0,0.0,0.0,3.17,--,3.17,2.09,1.61,--,1.61,1.26,1.56,--,1.56,0.83,0.07,0.03,0.04,0.07,0.22,0.1,0.32,0.0,0.0,0.0,--,--,0.0,10743.08,0.0,0.0,0.0,--,--,0.0,0.0,0.0,0.0,0.0,--,--,0.0,10743.08,4.13,16.05,20.18,3.17
AL,Limestone County,1083,2015,91.663,--,--,78.965,3.85,7.67,11.52,12.698,78.0,5.42,69.0,0.99,6.41,0.0,0.0,0.0,9.75,--,9.75,15.88,9.18,--,9.18,15.52,0.57,--,0.57,0.36,0.48,0.01,0.0,0.01,0.0,0.16,0.16,0.0,2850.13,2850.13,--,--,10.44,27669.69,0.0,2850.13,2850.13,--,--,10.44,27669.69,0.0,0.0,0.0,--,--,0.0,0.0,7.53,2865.51,2873.04,20.19
AL,Lowndes County,1085,2015,10.458,--,--,9.713,0.95,0.0,0.95,0.745,67.0,0.76,78.0,0.05,0.81,4.24,0.0,4.24,5.73,--,5.73,5.1,5.73,--,5.73,5.1,0.0,--,0.00,0.0,0.68,0.65,0.65,1.3,0.16,0.08,0.24,0.0,0.0,0.0,--,--,0.0,0.0,0.0,0.0,0.0,--,--,0.0,0.0,0.0,0.0,0.0,--,--,0.0,0.0,6.32,6.87,13.19,5.73
AL,Macon County,1087,2015,19.105,--,--,16.294,1.36,1.95,3.31,2.811,53.0,1.16,71.0,0.15,1.31,0.0,0.0,0.0,5.92,--,5.92,3.66,5.92,--,5.92,3.66,0.0,--,0.00,0.0,0.1,0.0,0.0,0.0,1.05,0.52,1.57,0.0,0.0,0.0,--,--,0.0,0.0,0.0,0.0,0.0,--,--,0.0,0.0,0.0,0.0,0.0,--,--,0.0,0.0,4.99,6.06,11.05,5.92
AL,Madison County,1089,2015,353.089,--,--,342.658,29.0,38.15,67.15,10.431,69.0,30.95,90.0,0.72,31.67,0.0,0.56,0.56,9.15,--,9.15,11.61,6.65,--,6.65,10.41,2.5,--,2.50,1.2,0.28,0.0,0.0,0.0,0.28,0.12,0.4,0.0,0.0,0.0,--,--,0.0,0.0,0.0,0.0,0.0,--,--,0.0,0.0,0.0,0.0,0.0,--,--,0.0,0.0,35.12,43.14,78.26,9.15
AL,Marengo County,1091,2015,20.028,--,--,11.563,2.77,0.0,2.77,8.465,63.0,0.72,62.0,0.53,1.25,0.0,18.44,18.44,0.43,--,0.43,0.56,0.17,--,0.17,0.4,0.26,--,0.26,0.16,0.27,0.69,0.92,1.61,0.16,0.07,0.23,0.0,0.0,0.0,--,--,0.0,0.0,0.0,0.0,0.0,--,--,0.0,0.0,0.0,0.0,0.0,--,--,0.0,0.0,4.43,19.85,24.28,0.43
AL,Marion County,1093,2015,30.168,--,--,20.279,0.76,5.3,6.06,9.889,55.0,1.1,54.0,0.54,1.64,0.0,0.0,0.0,0.27,--,0.27,0.39,0.11,--,0.11,0.29,0.16,--,0.16,0.1,0.45,0.0,0.0,0.0,0.02,0.04,0.06,0.0,0.0,0.0,--,--,0.0,0.0,0.0,0.0,0.0,--,--,0.0,0.0,0.0,0.0,0.0,--,--,0.0,0.0,1.62,5.76,7.38,0.27
AL,Marshall County,1095,2015,94.725,--,--,88.68,3.31,20.45,23.76,6.045,71.0,9.05,102.0,0.43,9.48,0.08,0.0,0.08,2.07,--,2.07,1.13,0.81,--,0.81,0.33,1.26,--,1.26,0.8,1.12,0.0,0.0,0.0,0.08,0.04,0.12,0.0,0.0,0.0,--,--,0.0,0.0,0.0,0.0,0.0,--,--,0.0,0.0,0.0,0.0,0.0,--,--,0.0,0.0,5.24,22.34,27.58,2.07
AL,Mobile County,1097,2015,415.395,--,--,377.074,13.48,52.62,66.1,38.321,71.0,35.57,94.0,2.72,38.29,6.49,3.61,10.1,10.91,--,10.91,5.51,9.0,--,9.00,4.43,1.91,--,1.91,1.08,0.23,0.0,0.01,0.01,0.22,0.0,0.22,0.0,693.7,693.7,--,--,10.46,11387.56,0.0,693.7,693.7,--,--,7.66,4604.31,0.0,0.0,0.0,--,--,2.8,6783.25,31.66,752.33,783.99,21.37
AL,Monroe County,1099,2015,21.673,--,--,15.775,2.31,0.0,2.31,5.898,64.0,1.03,65.0,0.38,1.41,0.12,49.31,49.43,0.57,--,0.57,1.05,0.41,--,0.41,0.95,0.16,--,0.16,0.1,0.15,0.07,0.07,0.14,0.15,0.0,0.15,0.0,0.0,0.0,--,--,0.0,0.0,0.0,0.0,0.0,--,--,0.0,0.0,0.0,0.0,0.0,--,--,0.0,0.0,3.5,49.63,53.13,0.57
AL,Montgomery County,1101,2015,226.519,--,--,221.784,13.15,14.85,28.0,4.735,63.0,14.3,64.0,0.3,14.6,1.78,0.0,1.78,6.27,--,6.27,3.47,4.87,--,4.87,2.61,1.4,--,1.40,0.86,0.91,0.2,0.2,0.4,0.8,0.38,1.18,0.0,0.0,0.0,--,--,0.0,0.0,0.0,0.0,0.0,--,--,0.0,0.0,0.0,0.0,0.0,--,--,0.0,0.0,20.86,17.98,38.84,6.27
AL,Morgan County,1103,2015,119.565,--,--,115.544,0.0,25.6,25.6,4.021,80.0,8.81,76.0,0.32,9.13,0.01,88.33,88.34,1.04,--,1.04,0.86,0.26,--,0.26,0.36,0.78,--,0.78,0.5,0.73,0.0,0.0,0.0,0.22,0.1,0.32,0.0,5.2,5.2,--,--,3.76,6442.73,0.0,0.0,0.0,--,--,0.0,0.0,0.0,5.2,5.2,--,--,3.76,6442.73,1.04,120.51,121.55,4.8
AL,Perry County,1105,2015,9.652,--,--,5.432,2.02,0.0,2.02,4.22,78.0,0.43,79.0,0.33,0.76,0.0,0.0,0.0,0.63,--,0.63,1.23,0.53,--,0.53,1.17,0.1,--,0.10,0.06,0.33,2.34,1.76,4.1,0.0,0.0,0.0,0.0,0.0,0.0,--,--,0.0,0.0,0.0,0.0,0.0,--,--,0.0,0.0,0.0,0.0,0.0,--,--,0.0,0.0,5.36,2.05,7.41,0.63
AL,Pickens County,1107,2015,20.864,--,--,16.578,3.0,0.0,3.0,4.286,86.0,1.33,80.0,0.37,1.7,0.01,0.0,0.01,1.95,--,1.95,4.24,1.69,--,1.69,4.13,0.26,--,0.26,0.11,0.4,0.61,0.77,1.38,0.0,0.0,0.0,0.0,0.0,0.0,--,--,0.0,0.0,0.0,0.0,0.0,--,--,0.0,0.0,0.0,0.0,0.0,--,--,0.0,0.0,4.19,2.92,7.11,1.95
AL,Pike County,1109,2015,33.046,--,--,29.067,4.58,0.0,4.58,3.979,83.0,2.33,80.0,0.33,2.66,0.0,0.0,0.0,1.46,--,1.46,3.36,1.15,--,1.15,3.2,0.31,--,0.31,0.16,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,--,--,0.0,0.0,0.0,0.0,0.0,--,--,0.0,0.0,0.0,0.0,0.0,--,--,0.0,0.0,5.55,1.38,6.93,1.46
